nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,preTask,preDur
0,3,28,reproduction,1.0,0.9644296999999824,0.0,,following,1.2
0,3,29,following,1.3,0.0,1.023207599999978,1.1,reproduction,1.0
0,3,30,following,0.9,0.0,0.9761688999999478,0.8,following,1.3
0,3,31,reproduction,1.4,1.4113349000001565,0.0,,following,0.9
0,3,32,following,0.8,0.0,0.835023099999944,1.2,reproduction,1.4
0,3,33,following,0.8,0.0,0.7996507999998812,0.8,following,0.8
0,3,34,following,1.1,0.0,1.129050799999959,0.9,following,0.8
0,3,35,reproduction,1.2,1.082029299999931,0.0,,following,1.1
0,3,36,reproduction,0.9,0.7762486999999965,0.0,,reproduction,1.2
0,3,37,reproduction,1.3,1.2467020000001412,0.0,,reproduction,0.9
0,3,38,following,1.0,0.0,0.9761594999999944,0.8,reproduction,1.3
0,3,39,following,1.2,0.0,1.176099099999874,1.1,following,1.0
0,3,40,following,1.2,0.0,1.2231652999998914,1.2,following,1.2
0,3,41,reproduction,1.0,0.8350571999999374,0.0,,following,1.2
0,3,42,following,0.8,0.0,0.9644091999998636,1.4,reproduction,1.0
0,3,43,reproduction,1.4,1.1761265000000094,0.0,,following,0.8
0,3,44,reproduction,0.8,0.623368100000107,0.0,,reproduction,1.4
0,3,45,reproduction,0.9,0.8350512999998045,0.0,,reproduction,0.8
0,3,46,reproduction,0.8,0.6939189999998234,0.0,,reproduction,0.9
0,3,47,following,1.1,0.0,1.1525856000000658,0.8,reproduction,0.8
0,3,48,following,0.8,0.0,0.9291522999999416,1.4,following,1.1
0,3,49,following,1.4,0.0,1.3995644999999968,1.4,following,0.8
0,3,50,reproduction,1.1,0.9056299999999736,0.0,,following,1.4
0,3,51,following,1.4,0.0,1.2466510000001565,1.2,reproduction,1.1
0,3,52,reproduction,1.1,0.69392989999983,0.0,,following,1.4
0,3,53,reproduction,1.4,1.6112800999999308,0.0,,reproduction,1.1
0,3,54,following,1.2,0.0,1.176113600000008,1.1,reproduction,1.4
0,3,55,following,1.1,0.0,1.2231404999999995,1.4,following,1.2
0,3,56,reproduction,1.3,1.1525930000000244,0.0,,following,1.1
0,4,1,following,0.8,0.0,0.9079229999999824,0.9,,
0,4,2,following,1.3,0.0,1.2466898999998648,1.3,following,0.8
0,4,3,following,1.0,0.0,1.129063700000188,0.9,following,1.3
0,4,4,reproduction,1.1,0.999695900000006,0.0,,following,1.0
0,4,5,reproduction,0.9,0.8468169999998736,0.0,,reproduction,1.1
0,4,6,reproduction,1.3,1.093813100000034,0.0,,reproduction,0.9
0,4,7,reproduction,0.8,0.6586328999999296,0.0,,reproduction,1.3
0,4,8,following,1.4,0.0,1.4230832000000646,1.2,reproduction,0.8
0,4,9,reproduction,1.0,0.9291402999999718,0.0,,following,1.4
0,4,10,following,0.8,0.0,0.9761496999999508,0.8,reproduction,1.0
0,4,11,reproduction,1.2,1.2231317999999192,0.0,,following,0.8
0,4,12,reproduction,1.0,0.7997677000000749,0.0,,reproduction,1.2
0,4,13,following,0.9,0.0,1.0467257000000243,1.3,reproduction,1.0
0,4,14,following,0.8,0.0,0.905580500000042,0.8,following,0.9
0,4,15,following,1.4,0.0,1.4348677000000407,1.4,following,0.8
0,4,16,reproduction,0.8,0.7997671999999056,0.0,,following,1.4
0,4,17,following,1.3,0.0,1.2231755000000248,1.2,reproduction,0.8
0,4,18,following,1.3,0.0,1.2819726999998693,1.1,following,1.3
0,4,19,following,1.0,0.0,1.2349320000000716,1.3,following,1.3
0,4,20,reproduction,0.8,0.7762568000000556,0.0,,following,1.0
0,4,21,reproduction,0.9,0.90559989999997,0.0,,reproduction,0.8
0,4,22,following,0.9,0.0,0.9761676999999054,1.0,reproduction,0.9
0,4,23,following,1.0,0.0,1.0585117000000537,0.8,following,0.9
0,4,24,following,0.8,0.0,0.9291206000000328,1.4,following,1.0
0,4,25,reproduction,1.2,1.0232570999999098,0.0,,following,0.8
0,4,26,reproduction,1.4,1.1525899999999183,0.0,,reproduction,1.2
0,4,27,following,1.0,0.0,1.082035299999916,1.0,reproduction,1.4
0,4,28,following,0.9,0.0,0.9290962000000036,1.1,following,1.0
0,4,29,following,0.8,0.0,0.9526573999999072,1.1,following,0.9
0,4,30,reproduction,1.2,1.023238600000013,0.0,,following,0.8
0,4,31,reproduction,1.0,1.023233399999981,0.0,,reproduction,1.2
0,4,32,reproduction,0.8,0.6586130999999114,0.0,,reproduction,1.0
0,4,33,reproduction,1.1,1.0350372000000334,0.0,,reproduction,0.8
0,4,34,reproduction,1.3,1.1643581000000722,0.0,,reproduction,1.1
0,4,35,reproduction,1.0,1.164916999999832,0.0,,reproduction,1.3
0,4,36,reproduction,0.9,0.905618000000004,0.0,,reproduction,1.0
0,4,37,reproduction,1.1,0.9409024999999928,0.0,,reproduction,0.9
0,4,38,following,1.0,0.0,1.0704643000001397,1.4,reproduction,1.1
0,4,39,reproduction,1.4,1.1996331999998802,0.0,,following,1.0
0,4,40,following,0.8,0.0,0.8938499999999294,0.9,reproduction,1.4
0,4,41,reproduction,0.9,0.6939022000001387,0.0,,following,0.8
0,4,42,following,1.3,0.0,1.3172724999999446,1.2,reproduction,0.9
0,4,43,reproduction,1.2,1.046773499999972,0.0,,following,1.3
0,4,44,reproduction,1.4,1.493714399999817,0.0,,reproduction,1.2
0,4,45,following,1.3,0.0,1.4113158999998632,0.8,reproduction,1.4
0,4,46,following,0.8,0.0,0.9408642999999302,1.3,following,1.3
0,4,47,following,0.8,0.0,0.9291183999998792,1.4,following,0.8
0,4,48,following,1.4,0.0,1.5171755999999732,1.0,following,0.8
0,4,49,following,1.2,0.0,1.2584179000000404,1.0,following,1.4
0,4,50,reproduction,1.3,1.4701806000000488,0.0,,following,1.2
0,4,51,reproduction,1.4,1.5171837999998845,0.0,,reproduction,1.3
0,4,52,following,1.0,0.0,1.058475200000203,1.1,reproduction,1.4
0,4,53,reproduction,1.3,1.1526021000001947,0.0,,following,1.0
0,4,54,reproduction,1.1,1.3290153999998893,0.0,,reproduction,1.3
0,4,55,following,0.8,0.0,1.0232063999999357,0.9,reproduction,1.1
0,4,56,following,0.8,0.0,0.8703067000001283,1.2,following,0.8
0,5,1,reproduction,0.9,0.9409049000000778,0.0,,,
0,5,2,reproduction,1.0,1.0937974999997095,0.0,,reproduction,0.9
0,5,3,reproduction,1.3,1.376060100000359,0.0,,reproduction,1.0
0,5,4,reproduction,0.9,0.9180166999999528,0.0,,reproduction,1.3
0,5,5,reproduction,0.9,0.870328999999856,0.0,,reproduction,0.9
0,5,6,reproduction,0.9,1.105554100000063,0.0,,reproduction,0.9
0,5,7,reproduction,1.3,1.4583969999998772,0.0,,reproduction,0.9
0,5,8,following,0.8,0.0,0.8467891999998756,1.0,reproduction,1.3
0,5,9,reproduction,1.1,1.281973300000118,0.0,,following,0.8
0,5,10,reproduction,0.8,0.929144499999893,0.0,,reproduction,1.1
0,5,11,following,1.1,0.0,1.152559999999994,1.1,reproduction,0.8
0,5,12,reproduction,1.0,1.0702778999998372,0.0,,following,1.1
0,5,13,following,0.9,0.0,1.0702504999999292,1.2,reproduction,1.0
0,5,14,following,1.1,0.0,1.2113939999999277,1.0,following,0.9
0,5,15,reproduction,1.4,1.4231033000000934,0.0,,following,1.1
0,5,16,following,1.3,0.0,1.329019799999969,1.2,reproduction,1.4
0,5,17,following,0.8,0.0,0.9755228999997598,0.9,following,1.3
0,5,18,reproduction,0.8,0.8820695999997952,0.0,,following,0.8
0,5,19,following,1.2,0.0,1.1996234999996886,1.1,reproduction,0.8
0,5,20,following,1.0,0.0,1.1408182999998644,1.3,following,1.2
0,5,21,following,0.8,0.0,1.0232210999997733,0.8,following,1.0
0,5,22,following,0.8,0.0,0.9532874000001356,1.4,following,0.8
0,5,23,reproduction,1.1,0.9526592000001984,0.0,,following,0.8
0,5,24,following,0.9,0.0,1.0702564999996866,1.4,reproduction,1.1
0,5,25,following,0.9,0.0,1.0937951000000794,0.9,following,0.9
0,5,26,reproduction,1.2,1.1173389999999015,0.0,,following,0.9
0,5,27,following,1.3,0.0,1.2349358000001305,0.8,reproduction,1.2
0,5,28,reproduction,1.0,0.8585607999998501,0.0,,following,1.3
0,5,29,reproduction,1.0,0.882110499999726,0.0,,reproduction,1.0
0,5,30,reproduction,1.2,1.0702919999998812,0.0,,reproduction,1.0
0,5,31,reproduction,1.4,1.0820536000001084,0.0,,reproduction,1.2
0,5,32,following,1.3,0.0,1.2937534999996387,1.2,reproduction,1.4
0,5,33,following,1.0,0.0,1.1761077999999543,1.0,following,1.3
0,5,34,reproduction,1.2,0.6703923000000032,0.0,,following,1.0
0,5,35,reproduction,1.3,1.3172793000003369,0.0,,reproduction,1.2
0,5,36,following,1.2,0.0,1.1996414999998706,1.4,reproduction,1.3
0,5,37,following,1.1,0.0,0.8820651000000908,0.8,following,1.2
0,5,38,following,0.9,0.0,1.0232285000001866,1.1,following,1.1
0,5,39,following,0.9,0.0,1.0349565000001348,1.0,following,0.9
0,5,40,reproduction,0.8,0.5880627999999888,0.0,,following,0.9
0,5,41,following,1.3,0.0,1.2937369000001129,1.3,reproduction,0.8
0,5,42,reproduction,1.4,1.164371200000005,0.0,,following,1.3
0,5,43,following,1.2,0.0,1.2937403000000811,1.3,reproduction,1.4
