nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur,flwOnLtc,flwOffLtc,flwAfterOff,valid
9,5,45,reproduction,1.0,1.093817900000431,0.0,,1.093817900000431,following,1.2,1.4113360000010289,1.0,,,False,1
9,5,46,reproduction,0.8,0.9291873999973176,0.0,,0.9291873999973176,reproduction,1.0,1.093817900000431,,,,False,1
9,5,47,reproduction,0.9,0.9410065000010944,0.0,,0.9410065000010944,reproduction,0.8,0.9291873999973176,,,,False,1
9,5,48,following,1.1,0.0,1.1407662000019627,0.9,1.1407662000019627,reproduction,0.9,0.9410065000010944,,-0.0469274000024597,-0.0116971999996167,False,1
9,5,49,reproduction,0.8,1.0585453000021516,0.0,,1.0585453000021516,following,1.1,1.1407662000019627,0.9,,,False,1
9,5,50,following,1.2,0.0,1.270209000002069,0.8,1.270209000002069,reproduction,0.8,1.0585453000021516,,-0.0469130000019504,0.0236483000007865,False,1
9,5,51,reproduction,1.3,1.258449400000245,0.0,,1.258449400000245,following,1.2,1.270209000002069,0.8,,,False,1
9,5,52,following,1.1,0.0,1.3289909999984957,1.4,1.3289909999984957,reproduction,1.3,1.258449400000245,,0.0471754999998665,0.2706193999983952,False,1
9,5,53,reproduction,1.0,1.1526272000010067,0.0,,1.1526272000010067,following,1.1,1.3289909999984957,1.4,,,False,1
9,5,54,following,1.3,0.0,1.4348658000017167,1.2,1.4348658000017167,reproduction,1.0,1.1526272000010067,,0.1530203000002075,0.2824158000003081,False,1
9,5,55,following,1.4,0.0,1.375984200003586,1.1,1.375984200003586,following,1.3,1.4348658000017167,1.2,0.0118899999979475,-0.0116815999972459,False,1
9,5,56,reproduction,1.1,1.2231897999990906,0.0,,1.2231897999990906,following,1.4,1.375984200003586,1.1,,,False,1
9,6,1,reproduction,0.9,0.7997772999988229,0.0,,0.7997772999988229,,,,,,,False,1
9,6,2,reproduction,0.8,0.9291536999990058,0.0,,0.9291536999990058,reproduction,0.9,0.7997772999988229,,,,False,1
9,6,3,reproduction,1.4,0.9762095999976736,0.0,,0.9762095999976736,reproduction,0.8,0.9291536999990058,,,,False,1
9,6,4,following,1.1,0.0,1.1055710000000545,0.9,1.1055710000000545,reproduction,1.4,0.9762095999976736,,-0.0116352000004553,-0.0116176000010455,False,1
9,6,5,reproduction,0.9,0.9056449000017892,0.0,,0.9056449000017892,following,1.1,1.1055710000000545,0.9,,,False,1
